"date","month_year_desc","month_desc","month_start_date","month_end_date","same_month_last_year_start","same_month_last_year_end","year_start","year","month","day_in_month","last_day_in_month","month_end_date_previous_month","month_end_date_next_month"
"2018-01-01","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-01","2017-01-31","2018-01-01",2018,1,1,31,"2017-12-31","2018-02-28"
"2018-01-02","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-02","2017-01-31","2018-01-01",2018,1,2,31,"2017-12-31","2018-02-28"
"2018-01-03","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-03","2017-01-31","2018-01-01",2018,1,3,31,"2017-12-31","2018-02-28"
"2018-01-04","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-04","2017-01-31","2018-01-01",2018,1,4,31,"2017-12-31","2018-02-28"
"2018-01-05","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-05","2017-01-31","2018-01-01",2018,1,5,31,"2017-12-31","2018-02-28"
"2018-01-06","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-06","2017-01-31","2018-01-01",2018,1,6,31,"2017-12-31","2018-02-28"
"2018-01-07","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-07","2017-01-31","2018-01-01",2018,1,7,31,"2017-12-31","2018-02-28"
"2018-01-08","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-08","2017-01-31","2018-01-01",2018,1,8,31,"2017-12-31","2018-02-28"
"2018-01-09","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-09","2017-01-31","2018-01-01",2018,1,9,31,"2017-12-31","2018-02-28"
"2018-01-10","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-10","2017-01-31","2018-01-01",2018,1,10,31,"2017-12-31","2018-02-28"
"2018-01-11","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-11","2017-01-31","2018-01-01",2018,1,11,31,"2017-12-31","2018-02-28"
"2018-01-12","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-12","2017-01-31","2018-01-01",2018,1,12,31,"2017-12-31","2018-02-28"
"2018-01-13","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-13","2017-01-31","2018-01-01",2018,1,13,31,"2017-12-31","2018-02-28"
"2018-01-14","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-14","2017-01-31","2018-01-01",2018,1,14,31,"2017-12-31","2018-02-28"
"2018-01-15","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-15","2017-01-31","2018-01-01",2018,1,15,31,"2017-12-31","2018-02-28"
"2018-01-16","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-16","2017-01-31","2018-01-01",2018,1,16,31,"2017-12-31","2018-02-28"
"2018-01-17","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-17","2017-01-31","2018-01-01",2018,1,17,31,"2017-12-31","2018-02-28"
"2018-01-18","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-18","2017-01-31","2018-01-01",2018,1,18,31,"2017-12-31","2018-02-28"
"2018-01-19","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-19","2017-01-31","2018-01-01",2018,1,19,31,"2017-12-31","2018-02-28"
"2018-01-20","2018/Jan","Jan","2018-01-01","2018-01-31","2017-01-20","2017-01-31","2018-01-01",2018,1,20,31,"2017-12-31","2018-02-28"
